,Florida,California,Texas,New York,Virginia,Washington,Michigan,Colorado,New Jersey,Massachusetts,Connecticut,Utah,Ohio,Alabama,the District of Columbia,Arizona,Pennsylvania,North Carolina,Illinois,Nevada,Georgia,Maryland,Montana,New Hampshire,South Carolina,Minnesota,Louisiana,Arkansas,Iowa,Rhode Island,Hawaii,Indiana,Wyoming,New Mexico,Missouri,Maine,Tennessee,Idaho,Vermont,Oregon,Mississippi,West Virginia,Kansas,Kentucky,South Dakota,Delaware,Wisconsin,North Dakota,Nebraska,Oklahoma,Alaska
2000-11-01,113235.2829382675,208212.189187507,114520.97437035979,159598.9068294034,130497.50752414386,180543.083128473,120221.35649028506,193462.21472292734,179358.85688739797,213421.70554200574,169485.01644934865,174690.16222031976,106932.54850670537,102492.51258470728,171521.90524323515,141636.56128496898,102084.98189911287,133091.88818532063,133735.6155526928,159543.57573558405,132952.49717016055,156353.6715395016,,142821.01312034143,118317.96493086184,134916.52143433868,112067.54200446891,91464.07586164492,92526.73693024421,139724.570290042,201668.02082317587,98032.74626048595,,,101584.83108733264,111149.39575362708,114418.77020479717,125235.67118087686,118830.6520874127,154629.6088517399,92027.62617749219,74366.59126721435,90202.28365528224,92374.33135096496,105058.24303740356,153209.97369305984,121962.75586178934,,116195.0474698249,85591.93000979158,135979.02939284997
2000-12-01,113968.28659379309,210558.4896884403,114896.45690933654,160846.27257337648,131411.96168703688,181344.6501604979,121059.42667145857,195432.4235754205,180773.45314332846,216352.31394025843,170725.1467056135,175214.4295406374,107383.22877724342,102945.70811629522,171876.51468278977,142276.28190379773,102565.14874304982,133680.7995133583,134605.08263314771,160253.39249093985,133916.6715103468,157225.90281234417,,144626.18982781156,118763.98957472453,136508.2056997169,112700.46937297187,91965.21853940794,93008.3846546806,140808.44898784184,202441.65508052273,98681.41057592623,,,102295.52253825072,112194.99943141337,114836.5711879136,125479.88591153419,119703.37223155027,155078.45106458096,92685.44858680126,74945.95762618573,90632.37611424772,92823.7049961041,104958.02964935324,153976.04040245543,122542.55645362695,,116526.39698411472,85989.01768881985,136318.3384110623
2001-01-01,114638.52454774147,212543.34444263764,115120.63702848199,162042.68153610118,132332.8158169356,182183.268005178,121851.34777601663,197408.42022357896,182097.45884570936,219000.43818023088,171811.7281172603,175702.50659298824,107801.39333645906,103451.9458387455,172665.60433065085,142899.28276607464,103039.10519604899,134288.99535067895,135229.19784626903,160981.11522528788,134852.62768007824,157945.78622395094,,146269.53636657217,119283.50941998376,137943.33714312827,113402.299106822,92557.74840820541,93335.18378218793,141872.30620719213,203089.517562569,99149.2899978644,,,102825.73026270687,113481.85455170328,115313.86206115973,125875.77875568085,120478.32152427548,155584.47065678824,93284.19847329652,75650.88707587367,91167.36411627471,93346.44456955913,105018.22324611497,154825.339297118,123073.57764391012,,117032.35916914076,86430.94601392013,138717.27877707165
2001-02-01,115304.40667072176,214505.95793279065,115086.76318544497,163038.41090198327,133149.61436156952,183012.67757507073,122462.9239430368,199269.9695922418,183558.07454982828,221418.47211942248,172714.0211076764,175983.25280103085,108134.07652801258,103880.67761846236,173473.8070557028,143520.7120780216,103472.4559215269,134742.53025790694,135854.55636081513,161753.32955849756,135658.0761716629,158600.160059892,,148028.49879377973,119748.33744529377,139227.60332802698,114014.49869424959,92939.23357525609,93630.02930426753,142937.35466499138,203730.14010536406,99309.48249646394,,,103192.47910729072,114672.80234961565,115691.93145011626,126277.1114724232,121344.98989315913,156013.14231079278,93644.19934637875,76092.05703445071,91784.75920946716,93823.34581521974,105234.62316897222,155518.9214605996,123592.47826860855,,117371.80163437121,86859.82048763818,142513.6757007049
2001-03-01,116000.49752670567,216715.0412804064,114862.43867933999,163936.49297388634,133991.20663727468,183792.97846485567,122962.8282661686,201157.1945917476,185008.78267763578,223801.81058875515,173717.49658464003,176151.87131879432,108443.02227903048,104233.98816511733,174614.70292454844,144145.0949989158,103908.3177500274,135109.33377335072,136532.4792872501,162594.36251581725,136345.93144369332,159156.41905341847,,149684.04497071131,120229.65136806467,140503.17406671404,114604.11282878382,93225.76871746937,93818.15001973479,144072.25913096243,204303.86643405203,99308.12367489249,,,103598.44032198319,115787.94991145337,116008.95346049366,126829.55965405949,122252.69009165303,156468.668556688,93864.63048489559,76424.86307560728,92434.43248615418,94278.0061593685,105678.80856646485,156274.34758195837,124111.24626806268,,115008.68992513446,87231.4041999082,147360.11291129622
2001-04-01,116822.74918792234,219461.7366455541,114731.01334032054,164874.1271331569,134870.9048126686,184556.13530839945,123400.84840689483,202994.50527511458,186541.68421301487,226264.2409592643,174876.80527434094,176327.07545500004,108748.94600482384,104488.72969955124,176351.4577521859,144779.86442609163,104375.99227092834,135380.48033931697,137223.20674395547,163435.21432091514,136979.99225656153,159905.1250577193,,151391.74433347874,120559.29373721396,141884.5907778519,115118.31139737583,93403.96362359844,94078.06259391876,145391.82941473325,204989.0299122834,99263.65320513128,,,104120.708520016,116666.49610241852,116260.85110783862,127361.49117461022,123164.53674711032,156866.3159160231,94049.26681143795,76580.91108157195,92995.108333148,94685.70402852648,106078.44092700921,156994.68763611274,124683.45264293684,,111634.8232878355,87580.47816010327,151028.36212620474
2001-05-01,117723.36275367854,222214.1185525653,114775.14032885863,165909.6558984054,135843.93716530755,185215.86184874,123932.22786942749,204828.1703782763,188054.60651103963,228808.33108378458,176182.48305049504,176426.70890466313,109080.85174416464,104740.95100934476,178333.93378153525,145424.18481733563,104823.5664363675,135695.96162932928,138045.2093142312,164330.33900810438,137680.4310214449,160781.46109364028,,153297.8250723752,120931.37899559038,143296.18849163663,115588.08672470045,93730.35870733582,94375.63658585284,146795.60301235985,205979.38252901388,99460.0338425256,,,104740.58056353626,117716.72089581657,116551.56041470177,127882.0042935342,124006.71960922609,157312.95779188207,94381.08009244259,76886.26421079371,93518.74451065464,95111.73924932472,106663.30091279904,157741.70679662502,125274.59331905132,,108143.33878169423,87886.38400622485,154068.06604249982
2001-06-01,118663.4581169124,224714.42981519667,114908.94317565468,167052.6305799974,136817.17541374994,185891.03889015745,124474.71003847431,206466.59216446252,189740.03410573103,231479.62264036815,177498.55396211825,176593.4819693674,109407.60450372857,105000.65254452336,180246.48877672097,146074.08456558804,105279.25631460828,136013.28589833117,138911.47830900786,165198.37354296134,138379.82966015922,161836.34642808838,,155337.75242113438,121326.58888023424,144709.09376164796,116017.9770860192,94101.17080184905,94755.20344826924,148243.49992437338,207104.65440745957,99808.53304366925,,,105418.35917904845,118875.59090388166,116835.37963116914,128269.18516771006,124801.35142289502,157778.68640250448,94733.24884852134,77195.85711221863,94025.89786993859,95565.51341190614,106964.60792278912,158475.20332434494,125898.14291673241,,107264.48649152806,88189.88288888316,156620.57626545534
2001-07-01,119674.08798966976,227055.28567345973,115066.12084989015,168252.58363527604,137865.0866654602,186529.6207280335,125037.10392797312,208082.39648348183,191554.97622067796,234312.3674311984,178774.30157854749,176732.1319562631,109772.16340356016,105294.46800690547,182168.8396707821,146692.39928110116,105769.52951117935,136316.18217840279,139805.1126494029,166123.34777818722,139077.3922511259,162970.125096007,,157379.3266591796,121810.62766579754,146190.89879169138,116430.79435107921,94528.68217127153,95139.22156415416,149795.89827389043,208339.99164483938,100231.8287116608,,,106110.8327604386,120181.72433276453,117107.39933347316,128666.40211429297,125616.6165827724,158323.95511781436,95025.6589720763,77505.36501127113,94523.07841970689,96018.18251327625,107252.72759473714,159173.48875331527,126562.31094777735,,107237.69065770232,88475.75591130163,159014.7595273815
2001-08-01,120745.2878027887,229310.73527873252,115207.3024604167,169512.17288618293,138920.72216150447,187316.34604972778,125633.06158862496,209674.12383915787,193558.35003584437,237399.03750835508,180425.89049854488,177002.01208328447,110176.83341888864,105555.73632111524,184288.02994184996,147303.87828799736,106309.60145831686,136660.88470386717,140898.86158990426,167066.82473422366,139785.77977082878,164220.33634276732,,159244.26388177765,122206.1592630912,147804.5119493307,116895.85889024119,94884.60926429882,95558.96484316746,151652.18198524788,209545.06358758328,100603.66143804725,,,106746.03393948695,121301.76024230535,117427.74711845914,129147.75844550428,126366.74119642813,158944.24799879375,95357.7806104104,77792.23671279362,94989.47585121426,96417.91682368093,107321.61462107544,159913.08974341233,127261.78312659082,,107404.09906674265,88795.11993235363,160747.44135339963
2001-09-01,121855.81459662062,231499.86043026077,115355.78654182563,170744.1061675871,140009.03760247582,188030.75712885452,126281.04173531003,211169.47112986763,195706.56516480955,240397.62676385415,182254.30299830018,177252.61611171416,110589.5739692546,105849.30077463163,186540.81720159922,147919.34221666688,106856.23173019786,137013.26792166612,142154.27894047773,168040.55824372507,140491.65691830948,165500.97693360675,,161118.36985250123,122544.5358889876,149526.78025734038,117366.73662159953,95189.91305314767,95978.05962852255,153692.20209330067,210877.83353485775,100802.33919924543,,,107356.52117001805,122364.63984104087,117767.19392771249,129666.8659213034,127124.05913584905,159525.92982657324,95663.35382594143,78035.90898999244,95408.57941905904,96761.76991507807,107411.60679824436,160699.5345383916,127965.24233497505,,107636.44801449274,89130.74095531744,161964.34603211362
2001-10-01,122969.38863766415,233546.7395706585,115511.09764539101,172040.7599153395,141051.00351046896,188828.50797355874,126937.07093634694,212476.15951739947,197947.9817479466,243594.19037076304,184315.3694390898,177515.87782584238,110985.63741269991,106186.73084604398,188799.89756602154,148584.34951886002,107358.53164808864,137401.14231936328,143598.57825178572,169029.53592111546,141189.5263191754,166722.11452353842,,162917.5640009313,122860.54540347659,151306.01666889287,117828.4135348616,95385.59668806261,96404.1107542418,155970.52260843627,212240.64228789267,101106.57465283712,,,107994.20610008149,123320.39946730883,118139.76316206316,130155.08739200067,127938.31728451028,160086.6172454999,96136.29736650636,78297.78787772272,95821.15048970195,97064.25375784303,107617.56139720006,161539.3350563149,128648.53217174711,,107860.21697067801,89445.18993387982,162774.42428482886
2001-11-01,124037.34893837915,235469.65399915123,115624.57376232964,173398.1338338896,142129.3924200616,189529.96094035392,127532.47699220035,213540.97282787412,199997.94584019863,246734.55661907035,186116.26773531258,177708.27111801924,111343.54850036214,106517.58922681044,190956.2983748132,149273.379622642,107868.59036024321,137704.0322427226,144700.60748559592,169953.80346149186,141821.9794781167,167917.6428949668,,164653.2848168132,123191.61174603818,152999.3303881718,118270.52126592629,95520.36807732169,96815.94691806531,158007.77881082462,213450.4996398018,101343.9560724317,,,108673.6461664487,124454.47089026896,118445.03067923209,130465.40306808357,128906.26134309419,160585.97364812868,96490.9275089428,78455.81133110684,96220.07543709519,97353.14717680763,107863.08395344445,162412.9350927324,129298.39246201073,,108080.55701515923,89704.45620322165,163704.36699450863
2001-12-01,125084.75082333786,237267.8274369971,115716.24922343002,174839.3959559841,143152.91470174503,190387.30882731895,128083.5098800275,214377.32491940656,201845.36831654157,249690.78800714205,187608.78324168254,177795.0913656858,111667.23765778336,106763.35689944141,193143.35792280073,149917.63703275603,108351.06450988578,137969.5330634658,145516.06835086466,170910.75892075754,142411.47526292005,169132.04666457322,,166373.670071687,123522.90511252424,154448.4260585232,118662.90463107401,95599.75178629062,97237.89194826483,159994.86331597695,214528.84263916776,101667.50715214876,,,109363.29186116408,125556.35993822374,118677.2342495781,130739.68258656324,129916.92131207779,161113.85288264966,96770.48975994393,78565.1070641668,96629.29894349548,97613.87840875553,108026.30349984627,163305.30114746685,129922.35044473755,,108320.94435513108,89935.38909315306,164752.7588643216
2002-01-01,126030.4381295992,238720.6809480927,115747.52958419923,176262.37761949407,144113.3243317793,191111.78698106334,128652.74607246339,214851.91806712167,203574.11733103186,252094.7363808246,188787.72515692425,177816.5467822127,111941.15847157074,106908.54072015265,195239.3245146709,150456.39602840002,108831.1134939086,138191.98628321776,146078.99500488208,171774.81573322494,142913.1692347942,170353.24577679523,,168091.2166609854,123775.16165224493,155651.67624814008,118961.78360229985,95691.85469875335,97515.1908715651,161617.25782304778,215295.42681522956,101714.6619577894,,,109992.23688429939,126812.5719629256,118844.09545345,130915.45280485693,130971.25218831624,161619.69420170257,96908.96950176598,78654.27482349542,97016.84744328404,97830.38166109489,108154.8664565755,164216.17492308436,130512.31653621078,,108617.8691759144,90155.48267787277,165521.13906577733
2002-02-01,126905.21082705737,240206.0413611344,115834.24503878986,177554.23879414643,145065.4561435885,191817.36824104306,129140.50483075052,215277.56720119747,205354.35174102467,254153.9569176374,189864.20704034352,177735.97171985972,112165.98195455426,107065.34145322967,197341.44326683588,150944.2399245045,109306.55282892489,138380.16586533608,146737.36610198414,172535.73696851797,143396.40459710802,171532.13344240034,,169739.7538026419,123927.07480646468,156655.9453898005,119296.41549467958,95838.7763583521,97697.76472180338,163292.32528147558,216292.91883776733,101701.60706615959,,,110590.6746501935,128080.3540497733,119024.64493918279,131172.24318309818,132014.84671037583,162113.02951461732,96955.78596696327,78855.9967995494,97340.43648857134,98045.55576252371,108615.2286165753,165131.62878520633,131058.63886076042,,108902.90533174032,90426.89210945781,166136.11980240225
2002-03-01,127760.47938597528,241944.61825584256,116051.54166165402,178649.859612146,146064.19719131314,192437.33304543875,129569.58540736942,215886.58429721254,207173.2425158125,256251.5887826082,191106.2640627272,177786.41679300167,112382.02261986317,107197.40561043505,199293.73150883403,151474.06754037415,109802.26894562827,138559.21898188605,147537.26691997857,173373.02173364346,143835.59209844485,172715.74844857934,,171203.27861045068,124059.06754603989,157582.0160821658,119685.53325787919,96024.55797294561,97790.46391456063,164930.85640198746,217436.09736338863,101533.93285416404,,,111106.40474338568,129420.76188887935,119211.63874332442,131369.2954289446,133091.2414081019,162595.75020209048,96996.49170775294,79141.89603188942,97630.61550140874,98247.503357766,108980.93736247082,166108.55855040348,131556.84452697253,,109257.36282104989,90683.55843707423,166648.50809687897
2002-04-01,128722.81448530433,244290.56925377084,116433.66840269258,179729.8898025476,147192.85383067362,193004.63388187392,129884.00810544686,216677.1021057878,209006.1132097301,258484.32311580054,192572.18395774043,177913.4692807718,112600.41930575158,107346.9399086999,201560.28330764547,152062.5821602319,110347.77176730242,138677.01117293935,148284.11056328416,174327.37820546117,144304.4320209469,174045.0863050445,,172756.44824269772,124181.89656324415,158464.1999690103,120143.88781724288,96240.32273493461,98040.03510543595,166811.6901175682,218901.684441913,101388.56719417563,141296.694850007,132420.84061045665,111598.21118186584,130799.63815112237,119380.79347709788,131583.15269074586,134128.08274889647,163095.49813706256,96954.58115952047,79387.73740724515,97900.99934497278,98454.70441404365,109232.58452098159,167132.90123059318,132033.98491419925,,109546.37344530596,90955.56624185822,167489.51400882457
2002-05-01,129778.68649961986,247029.740867549,116883.8585909045,180881.20953033763,148355.19210859606,193501.64457754712,130205.05256830972,217570.37247980383,210907.37358855197,260894.95649782152,194305.3440551078,178024.35573427167,112859.06908097351,107537.29850889776,204111.6675442514,152659.88671775805,110943.82850916257,138859.86045504382,149076.09263993136,175403.70528877646,144782.69779345492,175708.71052814892,,174245.66349484108,124398.7189915763,159607.4984617942,120986.47243560788,96519.59359641715,98416.21659212065,169001.617189629,220196.8150062151,101423.46591281255,140040.76118907638,132645.73706176446,112112.40681081994,132112.93404996535,119569.58111596288,131820.63105971695,135100.02776596803,163728.70316765274,97063.9541135602,79597.19382025798,97913.1796289746,98646.58126276902,109334.95246943657,168146.69264426082,132537.5163505699,,109948.1537982158,91194.42604115115,168244.47113609756
2002-06-01,130882.65569575918,250068.8662921195,117388.23557653336,182218.07058567167,149639.04096848637,193946.43388872241,130560.27197183228,218326.91143929597,213042.0680518845,263400.9749408543,196282.49418106946,178122.6483760037,113148.63971900025,107774.1815081607,206946.55758109663,153331.55834211202,111600.10082884999,139051.65328284324,149857.22118083556,176311.33211414982,145272.56799275026,177615.63000907828,,175911.2012263953,124630.68625749172,160780.17979962347,121784.59648138289,96853.10886726034,98906.65578997013,171429.86833517897,221624.2277935123,101682.17861245091,139468.47139710712,132745.3557802453,112705.28056768031,133480.646307464,119785.78088578618,132171.4542549872,136049.77840785132,164485.20981287424,97250.03932241099,79798.26028996137,97845.01453849884,98860.09865262378,109683.3917427321,169226.42269997517,133084.6847537878,,110266.97663937513,91438.55513844523,168853.4089281617
2002-07-01,132006.60027741748,253584.79248724514,117900.92931134706,183654.09487401365,151001.54585990228,194510.92688870468,130905.12883483944,219061.5269859601,215439.24877706333,266235.4577103004,198388.04334996524,178218.2701215815,113486.82785702434,108049.52814243262,209718.70409937427,154058.33112067348,112334.57747143575,139313.4454624399,150796.42612336724,177140.65234090827,145734.80925982934,179734.8751311598,,177590.92904871513,124961.69049217908,162057.48717084716,122625.85818409192,97240.14575505849,99345.79196104746,174148.21531696452,223366.96516258316,102034.40885924442,138594.36943707356,133087.60094482117,113348.86631253421,134857.7573363195,120039.05805831168,132526.620174147,136906.18919729433,165313.03980825425,97574.5510705796,80046.66035366459,97748.6249253886,99125.67026840425,110101.56667036605,170334.15880929513,133658.8748217384,,110617.91616869009,91699.47253692086,169400.9088240959
2002-08-01,133207.76722133395,257369.58487337912,118442.72067888755,185257.58374258122,152454.77204325327,195188.94257440232,131293.8606415839,219581.04639083694,218365.51493541765,269243.6485897708,200441.98641932165,178245.9854177267,113839.62234930386,108297.06661954535,212340.37046822076,154885.18981733252,113163.5327769739,139573.29996826116,151991.54683921603,177912.065701231,146179.6594207637,181908.09927287928,,179531.59517577736,125281.50789949282,163215.54624249475,122783.4918625356,97578.67285325027,99731.00015874434,177358.45019040885,225617.35311370643,102218.33388592488,138673.7801023127,133460.75324437732,113941.5493112732,136157.44847844774,120271.23457934636,132855.98219716712,137697.68944290478,166001.26168834834,97868.15310942418,80335.66706501394,97728.60009700812,99417.7740760951,110487.7018699046,171531.58098176288,134301.75269856,,110919.4384053442,91976.3200809288,169969.12000507
2002-09-01,134396.12344692156,261193.33673206987,118920.22559476532,186909.69282908502,153907.8188783054,195862.83574741447,131663.81119936513,220122.6612484084,221616.51323461565,272559.982400306,202277.6157758661,178122.119134341,114194.90454265206,108559.84838221762,215065.37733728765,155599.5518452977,114023.77004919079,139835.5143016782,153313.35976533944,178627.90348307407,146635.010913003,184033.91577659905,,181595.60332237158,125600.59914310176,164419.1270109857,122901.69953685383,97925.68219419068,100030.11668258435,181171.1071177822,228332.9097465735,102253.24237756485,139237.6236127517,133904.77980655772,114545.05904372822,137401.95742995548,120513.07126051643,133172.50140283108,138386.361586654,166598.79597564775,98210.94748332335,80624.1792144599,97755.26857361403,99728.3687527685,110977.51615535757,172657.04403495466,134964.86137931692,,111246.91248220681,92276.13779173842,170590.51623609217
2002-10-01,135582.9213444354,264821.9783111196,119330.00058882312,188556.85799140623,155317.66776617686,196522.13051761815,132098.44316888088,220664.4978653879,225035.70738140264,276383.02411681024,204439.3748943218,177769.90923086158,114550.90049067275,108822.45734098922,217984.7915286543,156316.72902344773,114866.54313060438,140094.45124176232,154737.4826171893,179525.5968263777,147113.58793319928,186060.8115192419,,183862.1766878534,125902.13656577254,165589.1959735539,123008.17927879227,98310.70658967854,100364.9024019045,184901.70220672243,231001.78671847982,102396.72874753461,139744.77749624188,134295.13739629686,115194.43594213948,138538.16846789207,120790.94578279217,133496.59209498795,139109.39197890917,167156.19837323515,98620.52344113216,80996.86508049018,97785.73212593755,100024.53309372655,111310.3873411595,173812.0904725491,135703.58584856207,,111605.93676557794,92564.58136137544,171083.02089780066
